epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,211.1,1.49582,0.75971,1.00711,0.6474,0.49664,0.50281,0.21956,1.92136,1.3217,1.1947,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,218.03,1.47435,0.74805,0.99387,0.67767,0.49087,0.51214,0.22347,1.90067,1.36845,1.19299,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,224.919,1.49287,0.75908,1.00333,0.70564,0.50048,0.5261,0.22946,1.8921,1.39393,1.19079,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,231.814,1.4709,0.73819,0.99103,0.70552,0.47743,0.51424,0.23306,1.85934,1.3428,1.17353,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,238.662,1.47697,0.73442,0.98678,0.67025,0.50336,0.52206,0.23342,1.89622,1.33751,1.192,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,245.394,1.43798,0.72194,0.99274,0.66283,0.50817,0.51207,0.22331,1.91408,1.35445,1.19868,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,252.073,1.44618,0.72477,0.98611,0.66554,0.50528,0.51723,0.22924,1.88917,1.3507,1.18483,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,258.787,1.44476,0.71457,0.97968,0.66919,0.51105,0.53154,0.23297,1.88923,1.34872,1.1882,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,265.575,1.4191,0.70053,0.9722,0.65991,0.51489,0.52112,0.23179,1.88745,1.36057,1.19064,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,272.299,1.39833,0.70293,0.97721,0.64022,0.50941,0.51631,0.22983,1.88731,1.34562,1.18998,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
